"Codice","Nome","LayoutStampa","LayoutStampaMinuta","FinestraDialogo","ProvaA","ProvaB"
1,"Prova su cubi di calcestruzzo","CertificatoCubi.prn","Cubetti.prn","CompressioneCubi","Compressione su cubi",""
2,"Prova su carote di calcestruzzo indurito","CertificatoCarote.prn","Carote.prn","CompressioneCarote","Compressione su carote",""
3,"Prova su barre di acciao da c.a.","CertificatoBarre.prn","AcciaioCA.prn","TrazionePiegamentoBarre","Trazione barre","Piegamento barre"
4,"Prova di trazione su profilati in acciaio","CertificatoTrazioneProfilati.prn","AcciaioLaminati.prn","TrazioneProfilati","Trazione su profilati",""
5,"Prova di resilienza su profilati in acciaio","CertificatoResilienzaProfilati.prn","MinutaResilienza.prn","ResilienzaProfilati","Resilienza su profilati",""
6,"Prova su reti elettrosaldate","CertificatoReti.prn","MinutaReti.prn","TrazioneReti","Trazione su reti","Distacco sul nodo"
7,"Prova su trecce o trefoli","CertificatoTrefoli.prn","","TrazioneTrefoli","Trazione su trefoli",""
8,"Prova su cubi di calcestruzzo UNI EN 12390-3/2003","CertificatoCubi2003.prn","Cubetti2003.prn","CompressioneCubi","Compressione su cubi",""
9,"Prova su carote di calcestruzzo indurito UNI EN 12390-3/2003","CertificatoCarote2003.prn","Carote.prn","CompressioneCarote","Compressione su carote",""
10,"Prova su barre da c.a. B450","CertificatoBarreB450.prn","AcciaioCAB450.prn","TrazionePiegamentoBarre","Trazione barre","Piegamento barre"
11,"Prove su barre da c.a. B450 nuovo","CertificatoBarreB450_2010.prn","AcciaioCAB450_2010.prn","TrazionePiegamentoBarreB450_2010","Trazione barre","Piegamento barre"
12,"Prove su cubi D.M. 2008","CertificatoCubi2010.prn","Cubetti2010.prn","CompressioneCubiDM2008","Compressione su cubi",""
13,"Prove su barre Centro Trasformazione","CertificatoBarreCT.prn","AcciaioCT.prn","TrazionePiegamentoBarreCT","Trazione barre","Piegamento barre"
